"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"77",5162,"Rhein-Kreis Neuss",442522,0.476648,1,2,1
"78",5166,"Viersen",295067,0.629304,3,5,2
"79",5170,"Wesel",457244,0.660571,3,6,2
"80",5314,"Bonn, Stadt",313958,0.340975,1,1,1
"81",5315,"Köln, Stadt",1046680,0.498991,2,3,2
"82",5316,"Leverkusen, Stadt",161540,0.53319,2,3,2
"83",5334,"Städteregion Aachen",547661,0.606386,3,5,2
"84",5358,"Düren",259073,0.706363,4,7,2
"85",5362,"Rhein-Erft-Kreis",459448,0.58722,2,4,2
"86",5366,"Euskirchen",188158,0.682424,3,6,2
"87",5370,"Heinsberg",249310,0.799558,5,9,3
"88",5374,"Oberbergischer Kreis",270618,0.6417,3,5,2
"89",5378,"Rheinisch-Bergischer Kreis",279497,0.458094,1,2,1
"90",5382,"Rhein-Sieg-Kreis",585781,0.560032,2,4,2
"91",5512,"Bottrop, Stadt",116017,0.727078,4,7,2
"92",5513,"Gelsenkirchen, Stadt",257651,0.948269,5,10,3
"93",5515,"Münster, Stadt",302178,0.370465,1,1,1
"94",5554,"Borken",365191,0.697525,4,7,2
"95",5558,"Coesfeld",215996,0.561087,2,4,2
"96",5562,"Recklinghausen",613092,0.751133,4,8,2
"97",5566,"Steinfurt",437127,0.662527,3,6,2
"98",5570,"Warendorf",273412,0.603208,3,5,2
"99",5711,"Bielefeld, Stadt",329782,0.623153,3,5,2
"100",5754,"Gütersloh",354463,0.570318,2,4,2
"101",5758,"Herford",249219,0.643202,3,5,2
"102",5762,"Höxter",142770,0.696385,4,7,2
"103",5766,"Lippe",345127,0.644788,3,5,2
"104",5770,"Minden-Lübbecke",309216,0.664345,3,6,2
"105",5774,"Paderborn",299071,0.617877,3,5,2
"106",5911,"Bochum, Stadt",361876,0.622364,3,5,2
"107",5913,"Dortmund, Stadt",580511,0.743559,4,8,2
"108",5914,"Hagen, Stadt der FernUniversität",186716,0.786612,5,9,3
"109",5915,"Hamm, Stadt",176580,0.839039,5,9,3
