PLZ4;Raumtyp_Lage_bez
2758;sehr zentral
2760;peripher
2761;peripher
2762;peripher
2763;peripher
2771;peripher
2772;peripher
2774;zentral
2775;zentral
2777;zentral
2779;zentral
2780;zentral
2819;sehr zentral
2820;sehr zentral
2821;sehr zentral
2823;sehr zentral
2825;sehr zentral
2827;sehr zentral
2830;zentral
2832;sehr zentral
2835;zentral
2871;sehr zentral
2875;zentral
2877;peripher
2879;peripher
2881;zentral
2883;zentral
2884;zentral
2885;zentral
2886;zentral
2887;zentral
2922;zentral
2930;peripher
2931;zentral
2932;peripher
2933;zentral
2934;peripher
2935;peripher
2936;peripher
2937;sehr peripher
2938;sehr peripher
2939;peripher
2941;sehr peripher
2943;sehr peripher
2945;sehr peripher
2946;sehr peripher
2947;sehr peripher
2948;sehr peripher
2949;sehr peripher
2952;peripher
2954;peripher
2955;sehr peripher
2956;sehr peripher
2957;peripher
2958;peripher
2959;sehr peripher
2961;peripher
2963;peripher
2964;peripher
2966;peripher
2968;peripher
2969;zentral
3015;sehr zentral
3016;sehr zentral
3017;sehr zentral
3041;sehr zentral
3044;sehr zentral
3045;sehr zentral
3051;sehr zentral
3052;sehr zentral
3053;sehr zentral
3055;sehr zentral
3062;sehr zentral
3065;sehr zentral
3066;sehr zentral
3082;sehr zentral
3085;sehr zentral
3088;sehr zentral
3089;zentral
3090;zentral
3091;sehr zentral
3092;sehr zentral
3093;zentral
3095;sehr zentral
3096;sehr zentral
3097;zentral
3098;sehr zentral
3100;zentral
3102;peripher
3103;peripher
3106;peripher
3107;peripher
3108;peripher
3113;zentral
3114;zentral
3115;zentral
3116;zentral
3117;zentral
3118;zentral
3119;zentral
3122;zentral
3123;zentral
3124;zentral
3127;zentral
3130;zentral
3131;zentral
3151;zentral
3153;peripher
3154;zentral
3155;zentral
3158;peripher
3159;peripher
3160;peripher
3161;peripher
3162;peripher
3163;peripher
3165;zentral
3167;zentral
3168;zentral
3169;zentral
3170;zentral
3171;zentral
3173;zentral
3174;zentral
3178;zentral
3181;peripher
3183;zentral
3184;zentral
3185;zentral
3186;peripher
3204;sehr zentral
3205;sehr zentral
3210;sehr zentral
3212;sehr zentral
3213;sehr zentral
3225;sehr zentral
3227;sehr zentral
3228;zentral
3231;zentral
3233;zentral
3235;peripher
3236;zentral
3242;zentral
3245;zentral
3246;peripher
3247;zentral
3254;sehr zentral
3258;sehr zentral
3260;sehr zentral
3265;zentral
3267;peripher
3268;zentral
3269;zentral
3275;zentral
3276;zentral
3279;zentral
3280;zentral
3281;peripher
3282;zentral
3283;zentral
3301;peripher
3303;peripher
3309;zentral
3310;zentral
3312;zentral
3314;zentral
3315;zentral
3316;zentral
3317;zentral
3318;zentral
3333;sehr zentral
3337;sehr zentral
3339;zentral
3341;sehr zentral
3342;sehr zentral
3344;sehr zentral
3360;sehr zentral
3361;sehr zentral
3364;sehr zentral
3365;sehr zentral
3368;sehr zentral
3369;sehr zentral
3371;sehr zentral
3372;sehr zentral
3373;sehr zentral
3375;sehr zentral
3377;zentral
3379;sehr zentral
3380;sehr zentral
3381;sehr zentral
3382;sehr zentral
3411;zentral
3412;zentral
3413;zentral
3421;peripher
3422;zentral
3423;zentral
3424;zentral
3425;zentral
3426;zentral
3427;zentral
3428;zentral
3429;zentral
3430;zentral
3431;zentral
3432;zentral
3434;peripher
3435;peripher
