"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"249",1053133,"Wohltorf",2411,0.570651,2,4,2
"250",1053134,"Woltersdorf",302,0.617574,3,5,2
"251",1053135,"Worth",170,0.570651,2,4,2
"252",1053136,"Ziethen",1005,0.631263,3,6,2
"253",1054001,"Achtrup",1495,0.671987,4,7,2
"254",1054002,"Ahrenshöft",508,0.68234,4,7,2
"255",1054003,"Ahrenviöl",517,0.673516,4,7,2
"256",1054004,"Ahrenviölfeld",244,0.673516,4,7,2
"257",1054005,"Alkersum",428,0.642798,3,6,2
"258",1054006,"Almdorf",555,0.68234,4,7,2
"259",1054007,"Arlewatt",328,0.678942,4,7,2
"260",1054009,"Aventoft",458,0.671987,4,7,2
"261",1054010,"Bargum",596,0.68234,4,7,2
"262",1054011,"Behrendorf",560,0.673516,4,7,2
"263",1054012,"Bohmstedt",740,0.68234,4,7,2
"264",1054013,"Bondelum",173,0.673516,4,7,2
"265",1054014,"Bordelum",1961,0.68234,4,7,2
"266",1054015,"Borgsum",362,0.642798,3,6,2
"267",1054016,"Bosbüll",199,0.671987,4,7,2
"268",1054017,"Braderup",650,0.671987,4,7,2
"269",1054018,"Bramstedtlund",200,0.671987,4,7,2
"270",1054019,"Bredstedt, Stadt",5135,0.68234,4,7,2
"271",1054020,"Breklum",2359,0.68234,4,7,2
"272",1054022,"Dagebüll",899,0.671987,4,7,2
"273",1054023,"Drage",635,0.678942,4,7,2
"274",1054024,"Drelsdorf",1244,0.68234,4,7,2
"275",1054025,"Dunsum",71,0.642798,3,6,2
"276",1054026,"Elisabeth-Sophien-Koog",45,0.678942,4,7,2
"277",1054027,"Ellhöft",103,0.671987,4,7,2
"278",1054032,"Fresendelf",103,0.678942,4,7,2
"279",1054033,"Friedrichstadt, Stadt",2491,0.72173,4,8,2
"280",1054034,"Friedrich-Wilhelm-Lübke-Koog",177,0.671987,4,7,2
"281",1054035,"Garding, Kirchspiel",381,0.68986,4,8,2
"282",1054036,"Garding, Stadt",2515,0.68986,4,8,2
"283",1054037,"Goldebek",340,0.68234,4,7,2
"284",1054038,"Goldelund",389,0.68234,4,7,2
"285",1054039,"Gröde",9,0.671551,4,7,2
"286",1054040,"Grothusenkoog",21,0.68986,4,8,2
"287",1054041,"Haselund",889,0.673516,4,7,2
"288",1054042,"Hattstedt",2532,0.678942,4,7,2
"289",1054043,"Hattstedtermarsch",285,0.678942,4,7,2
"290",1054045,"Högel",455,0.68234,4,7,2
"291",1054046,"Hörnum (Sylt)",837,0.667183,4,7,2
"292",1054048,"Holm",77,0.671987,4,7,2
"293",1054050,"Hallig Hooge",105,0.671551,4,7,2
"294",1054052,"Horstedt",764,0.678942,4,7,2
"295",1054054,"Hude",187,0.678942,4,7,2
"296",1054055,"Humptrup",725,0.671987,4,7,2
"297",1054056,"Husum, Stadt",22215,0.681273,4,7,2
"298",1054057,"Immenstedt",688,0.673516,4,7,2
"299",1054059,"Joldelund",732,0.68234,4,7,2
"300",1054061,"Kampen (Sylt)",475,0.667183,4,7,2
"301",1054062,"Karlum",213,0.671987,4,7,2
"302",1054063,"Katharinenheerd",169,0.68986,4,8,2
"303",1054065,"Klanxbüll",970,0.671987,4,7,2
"304",1054068,"Klixbüll",981,0.671987,4,7,2
"305",1054070,"Koldenbüttel",922,0.678942,4,7,2
"306",1054071,"Kolkerheide",49,0.68234,4,7,2
"307",1054072,"Kotzenbüll",224,0.68986,4,8,2
"308",1054073,"Ladelund",1361,0.671987,4,7,2
"309",1054074,"Langeneß",136,0.671551,4,7,2
"310",1054075,"Langenhorn",3117,0.68234,4,7,2
"311",1054076,"Leck",7527,0.671987,4,7,2
"312",1054077,"Lexgaard",57,0.671987,4,7,2
"313",1054078,"List",1548,0.667183,4,7,2
"314",1054079,"Löwenstedt",659,0.673516,4,7,2
"315",1054080,"Lütjenholm",315,0.68234,4,7,2
"316",1054083,"Midlum",426,0.642798,3,6,2
"317",1054084,"Mildstedt",3815,0.678942,4,7,2
"318",1054085,"Nebel",920,0.642798,3,6,2
"319",1054086,"Neukirchen",1181,0.671987,4,7,2
"320",1054087,"Nieblum",553,0.642798,3,6,2
