"";"JAHR";"PLZ3";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"324";1998;497;0,483982;139850;4;7;2
"325";1998;498;0,429777;124151;4;7;2
"326";1998;501;0,334444;170304;3;5;2
"327";1998;502;0,286753;108750;2;4;2
"328";1998;503;0,303673;191859;3;5;2
"329";1998;506;0,43109;43119;4;7;2
"330";1998;507;0,430904;256668;4;7;2
"331";1998;508;0,430698;115698;4;7;2
"332";1998;509;0,430748;197779;4;7;2
"333";1998;510;0,430665;134998;4;7;2
"334";1998;511;0,430892;304261;4;7;2
"335";1998;513;0,347484;180760;3;6;2
"336";1998;514;0,296216;138747;3;5;2
"337";1998;515;0,3499;150688;3;6;2
"338";1998;516;0,314415;96765;3;5;2
"339";1998;517;0,319996;73570;3;5;2
"340";1998;520;0,537166;241230;4;8;2
"341";1998;521;0,457835;125804;4;7;2
"342";1998;522;0,503263;112032;4;8;2
"343";1998;523;0,457533;188465;4;7;2
"344";1998;524;0,484206;149132;4;7;2
"345";1998;525;0,547389;124468;4;8;2
"346";1998;531;0,391743;242288;3;6;2
"347";1998;532;0,391478;74105;3;6;2
"348";1998;533;0,31638;145136;3;5;2
"349";1998;534;0,331754;73754;3;5;2
"350";1998;535;0,308123;99080;3;5;2
"351";1998;536;0,334184;71413;3;5;2
"352";1998;537;0,357189;192823;3;6;2
"353";1998;538;0,361919;241369;3;6;2
"354";1998;539;0,370448;125500;3;6;2
"355";1998;542;0,568722;122481;4;8;2
"356";1998;543;0,373779;92086;3;6;2
"357";1998;544;0,346456;95369;3;6;2
"358";1998;545;0,34434;129905;3;6;2
"359";1998;546;0,413603;76802;4;7;2
"360";1998;551;0,339682;209227;3;6;2
"361";1998;552;0,233363;232271;2;3;2
"362";1998;554;0,257504;132002;2;4;2
"363";1998;555;0,325775;130837;3;5;2
"364";1998;556;0,347833;25872;3;6;2
"365";1998;557;0,295673;75371;3;5;2
"366";1998;560;0,383795;111375;3;6;2
"367";1998;561;0,316971;79846;3;5;2
"368";1998;562;0,293745;137772;3;5;2
"369";1998;563;0,300178;105042;3;5;2
"370";1998;564;0,271185;112387;2;4;2
"371";1998;565;0,327517;105520;3;5;2
"372";1998;566;0,307671;59768;3;5;2
"373";1998;567;0,311485;85183;3;5;2
"374";1998;568;0,286151;52304;2;4;2
"375";1998;570;0,353007;101538;3;6;2
"376";1998;572;0,280959;137710;2;4;2
"377";1998;573;0,240252;104819;2;4;2
"378";1998;574;0,160299;98567;1;2;1
"379";1998;575;0,356234;94437;3;6;2
"380";1998;576;0,353482;61509;3;6;2
"381";1998;580;0,457233;137328;4;7;2
"382";1998;581;0,456506;50673;4;7;2
"383";1998;582;0,34709;108256;3;6;2
"384";1998;583;0,303567;87442;3;5;2
"385";1998;584;0,3864;96261;3;6;2
"386";1998;585;0,147234;136732;1;2;1
"387";1998;586;0,2168;127619;2;3;2
"388";1998;587;0,251686;129312;2;4;2
"389";1998;588;0,11764;56783;1;2;1
"390";1998;590;0,574244;177889;4;8;2
"391";1998;591;0,48274;110948;4;7;2
"392";1998;592;0,399568;88741;3;6;2
"393";1998;593;0,383706;180702;3;6;2
"394";1998;594;0,432176;166653;4;7;2
"395";1998;595;0,386784;177890;3;6;2
"396";1998;596;0,355647;21717;3;6;2
"397";1998;597;0,322603;37975;3;5;2
"398";1998;598;0,297828;103213;3;5;2
"399";1998;599;0,317775;79325;3;5;2
"400";1998;603;0,306781;166674;3;5;2
"401";1998;604;0,306449;220306;3;5;2
"402";1998;605;0,307046;232177;3;5;2
"403";1998;611;0,192169;149351;2;3;2
"404";1998;612;0,215771;116316;2;3;2
"405";1998;613;0,117757;86161;1;2;1
"406";1998;614;0,098325;99188;1;1;1
"407";1998;630;0,501094;121615;4;8;2
"408";1998;631;0,194147;149775;2;3;2
"409";1998;632;0,18795;73907;1;2;1
"410";1998;633;0,174713;79723;1;2;1
"411";1998;634;0,247916;151004;2;4;2
"412";1998;635;0,200615;182154;2;3;2
"413";1998;636;0,292087;149311;3;5;2
"414";1998;637;0,185964;162918;1;2;1
"415";1998;638;0,12265;143896;1;2;1
"416";1998;639;0,135672;54259;1;2;1
"417";1998;642;0,373074;152064;3;6;2
"418";1998;643;0,181224;179415;1;2;1
"419";1998;644;0,181619;20212;1;2;1
"420";1998;645;0,190976;129801;2;3;2
"421";1998;646;0,25201;137414;2;4;2
"422";1998;647;0,215144;80508;2;3;2
"423";1998;648;0,212208;103381;2;3;2
"424";1998;651;0,375119;94845;3;6;2
"425";1998;652;0,321576;201722;3;5;2
"426";1998;653;0,207756;101090;2;3;2
"427";1998;654;0,177535;157291;1;2;1
"428";1998;655;0,29023;165606;2;4;2
"429";1998;656;0,34263;52560;3;6;2
"430";1998;657;0,093453;118088;1;1;1
"431";1998;658;0,068984;80510;1;1;1
"432";1998;659;0,305804;109940;3;5;2
"433";1998;661;0,598686;176013;4;8;2
"434";1998;662;0,482532;84386;4;7;2
"435";1998;663;0,437058;121002;4;7;2
"436";1998;664;0,323761;140713;3;5;2
"437";1998;665;0,445238;143033;4;7;2
"438";1998;666;0,317118;162891;3;5;2
"439";1998;667;0,322345;157096;3;5;2
"440";1998;668;0,319455;141266;3;5;2
"441";1998;669;0,418726;122359;4;7;2
"442";1998;670;0,339449;183755;3;6;2
"443";1998;671;0,197917;119354;2;3;2
"444";1998;672;0,273022;136547;2;4;2
"445";1998;673;0,274805;126406;2;4;2
"446";1998;674;0,278907;118303;2;4;2
"447";1998;675;0,367127;130207;3;6;2
"448";1998;676;0,524101;135128;4;8;2
"449";1998;677;0,35091;56345;3;6;2
"450";1998;678;0,384538;27422;3;6;2
"451";1998;681;0,436535;95824;4;7;2
"452";1998;682;0,43532;91692;4;7;2
"453";1998;683;0,436363;117058;4;7;2
"454";1998;685;0,244153;80104;2;4;2
"455";1998;686;0,253986;61312;2;4;2
"456";1998;687;0,223571;143228;2;3;2
"457";1998;688;0,242236;12227;2;4;2
"458";1998;691;0,344479;251291;3;6;2
"459";1998;692;0,226807;115425;2;3;2
"460";1998;694;0,229269;108234;2;3;2
"461";1998;695;0,224246;34042;2;3;2
"462";1998;701;0,211084;140875;2;3;2
"463";1998;703;0,210352;142635;2;3;2
"464";1998;704;0,210574;118758;2;3;2
"465";1998;705;0,210351;190070;2;3;2
"466";1998;706;0,186118;27864;1;2;1
"467";1998;707;0,03447;129658;1;1;1
"468";1998;708;0,048637;71790;1;1;1
"469";1998;710;0,039531;165581;1;1;1
"470";1998;711;0,035234;112424;1;1;1
"471";1998;712;0,021183;148585;1;1;1
"472";1998;713;0,071132;129449;1;1;1
"473";1998;714;0,06257;24528;1;1;1
"474";1998;715;0,121328;110122;1;2;1
"475";1998;716;0,091954;204454;1;1;1
"476";1998;717;0,06963;105015;1;1;1
"477";1998;720;0,365813;87085;3;6;2
"478";1998;721;0,213321;197165;2;3;2
"479";1998;722;0,129373;132507;1;2;1
"480";1998;723;0,064293;90658;1;1;1
"481";1998;724;0,115532;125464;1;1;1
"482";1998;725;0,154686;118648;1;2;1
