"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"102",8117044,"Schlierbach",3969,0.486474,3,5,2
"103",8117049,"Süßen, Stadt",9846,0.493574,3,6,2
"104",8117051,"Uhingen, Stadt",13963,0.483067,3,5,2
"105",8117053,"Wäschenbeuren",3862,0.525923,4,7,2
"106",8117055,"Wangen",3056,0.525923,4,7,2
"107",8117058,"Wiesensteig, Stadt",1974,0.488473,3,5,2
"108",8117060,"Zell unter Aichelberg",3027,0.477303,3,5,2
"109",8117061,"Lauterstein, Stadt",2574,0.493574,3,6,2
"110",8118001,"Affalterbach",4456,0.347478,1,1,1
"111",8118003,"Asperg, Stadt",13065,0.349935,1,1,1
"112",8118006,"Benningen am Neckar",6030,0.347478,1,1,1
"113",8118007,"Besigheim, Stadt",11951,0.3506,1,1,1
"114",8118010,"Bönnigheim, Stadt",7360,0.38877,1,2,1
"115",8118011,"Ditzingen, Stadt",24427,0.334709,1,1,1
"116",8118012,"Eberdingen",6667,0.357747,1,1,1
"117",8118014,"Erdmannhausen",4808,0.347478,1,1,1
"118",8118015,"Erligheim",2709,0.38877,1,2,1
"119",8118016,"Freudental",2453,0.3506,1,1,1
"120",8118018,"Gemmrigheim",3976,0.3506,1,1,1
"121",8118019,"Gerlingen, Stadt",19151,0.314658,1,1,1
"122",8118021,"Großbottwar, Stadt",8253,0.37494,1,2,1
"123",8118027,"Hemmingen",7342,0.320575,1,1,1
"124",8118028,"Hessigheim",2347,0.3506,1,1,1
"125",8118040,"Kirchheim am Neckar",5436,0.38877,1,2,1
"126",8118046,"Kornwestheim, Stadt",32680,0.366706,1,2,1
"127",8118047,"Löchgau",5520,0.3506,1,1,1
"128",8118048,"Ludwigsburg, Stadt",91116,0.383846,1,2,1
"129",8118049,"Marbach am Neckar, Stadt",15382,0.347478,1,1,1
"130",8118050,"Markgröningen, Stadt",14426,0.34141,1,1,1
"131",8118051,"Möglingen",10983,0.352232,1,1,1
"132",8118053,"Mundelsheim",3247,0.3506,1,1,1
"133",8118054,"Murr",6279,0.352024,1,1,1
"134",8118059,"Oberriexingen, Stadt",3251,0.357747,1,1,1
"135",8118060,"Oberstenfeld",7877,0.363375,1,2,1
"136",8118063,"Pleidelsheim",6231,0.342163,1,1,1
"137",8118067,"Schwieberdingen",11326,0.320575,1,1,1
"138",8118068,"Sersheim",5607,0.357747,1,1,1
"139",8118070,"Steinheim an der Murr, Stadt",12086,0.352024,1,1,1
"140",8118071,"Tamm",12605,0.34699,1,1,1
"141",8118073,"Vaihingen an der Enz, Stadt",28380,0.357747,1,1,1
"142",8118074,"Walheim",3112,0.3506,1,1,1
"143",8118076,"Sachsenheim, Stadt",17861,0.368101,1,2,1
"144",8118077,"Ingersheim",6183,0.34699,1,1,1
"145",8118078,"Freiberg am Neckar, Stadt",15717,0.342163,1,1,1
"146",8118079,"Bietigheim-Bissingen, Stadt",42334,0.34699,1,1,1
"147",8118080,"Korntal-Münchingen, Stadt",18701,0.337736,1,1,1
"148",8118081,"Remseck am Neckar, Stadt",25042,0.333077,1,1,1
"149",8119001,"Alfdorf",7053,0.437255,2,3,2
"150",8119003,"Allmersbach im Tal",4640,0.448404,2,3,2
"151",8119004,"Althütte",4041,0.448404,2,3,2
"152",8119006,"Auenwald",6767,0.448404,2,3,2
"153",8119008,"Backnang, Stadt",35368,0.448404,2,3,2
"154",8119018,"Burgstetten",3572,0.448404,2,3,2
"155",8119020,"Fellbach, Stadt",44611,0.412719,1,2,1
"156",8119024,"Großerlach",2479,0.476474,3,5,2
"157",8119037,"Kaisersbach",2487,0.4668,2,4,2
"158",8119038,"Kirchberg an der Murr",3715,0.448404,2,3,2
"159",8119041,"Korb",10305,0.400354,1,2,1
"160",8119042,"Leutenbach",11095,0.415034,1,2,1
"161",8119044,"Murrhardt, Stadt",13656,0.481091,3,5,2
"162",8119053,"Oppenweiler",4103,0.448404,2,3,2
"163",8119055,"Plüderhausen",9252,0.425887,1,2,1
"164",8119061,"Rudersberg",11113,0.444336,2,3,2
"165",8119067,"Schorndorf, Stadt",38733,0.427111,1,2,1
"166",8119068,"Schwaikheim",9354,0.415034,1,2,1
"167",8119069,"Spiegelberg",2133,0.476474,3,5,2
"168",8119075,"Sulzbach an der Murr",5179,0.476474,3,5,2
"169",8119076,"Urbach",8744,0.425887,1,2,1
"170",8119079,"Waiblingen, Stadt",53407,0.419773,1,2,1
"171",8119083,"Weissach im Tal",7014,0.448404,2,3,2
"172",8119084,"Welzheim, Stadt",10980,0.4668,2,4,2
"173",8119085,"Winnenden, Stadt",27622,0.415034,1,2,1
"174",8119086,"Winterbach",7532,0.427111,1,2,1
"175",8119087,"Aspach",7950,0.448404,2,3,2
"176",8119089,"Berglen",6067,0.405022,1,2,1
