"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1270",9572130,"Hemhofen",5244,0.225459,1,1,1
"1271",9572131,"Heroldsberg, Markt",8399,0.248938,1,1,1
"1272",9572132,"Herzogenaurach, Stadt",22946,0.201437,1,1,1
"1273",9572133,"Heßdorf",3570,0.216995,1,1,1
"1274",9572135,"Höchstadt a.d.Aisch, Stadt",13158,0.249206,1,1,1
"1275",9572137,"Kalchreuth",2921,0.219466,1,1,1
"1276",9572139,"Lonnerstadt, Markt",1976,0.266357,1,1,1
"1277",9572141,"Marloffstein",1575,0.231484,1,1,1
"1278",9572142,"Möhrendorf",4717,0.21399,1,1,1
"1279",9572143,"Mühlhausen, Markt",1704,0.266357,1,1,1
"1280",9572147,"Oberreichenbach",1228,0.210978,1,1,1
"1281",9572149,"Röttenbach",4640,0.227193,1,1,1
"1282",9572154,"Spardorf",1928,0.231484,1,1,1
"1283",9572158,"Uttenreuth",5020,0.231484,1,1,1
"1284",9572159,"Vestenbergsgreuth, Markt",1516,0.266357,1,1,1
"1285",9572160,"Wachenroth, Markt",2220,0.262255,1,1,1
"1286",9572164,"Weisendorf, Markt",6407,0.224052,1,1,1
"1287",9573111,"Ammerndorf, Markt",2080,0.378542,1,2,1
"1288",9573114,"Cadolzburg, Markt",10683,0.392632,1,2,1
"1289",9573115,"Großhabersdorf",4018,0.415189,1,2,1
"1290",9573120,"Langenzenn, Stadt",10443,0.398522,1,2,1
"1291",9573122,"Oberasbach, Stadt",17465,0.387759,1,2,1
"1292",9573123,"Obermichelbach",3192,0.37672,1,1,1
"1293",9573124,"Puschendorf",2185,0.418271,1,2,1
"1294",9573125,"Roßtal, Markt",9603,0.394567,1,2,1
"1295",9573126,"Seukendorf",3101,0.397275,1,2,1
"1296",9573127,"Stein, Stadt",13754,0.401218,1,2,1
"1297",9573129,"Tuchenbach",1340,0.37672,1,1,1
"1298",9573130,"Veitsbronn",6354,0.397275,1,2,1
