"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"63",12061492,"Teupitz, Stadt",1812,0.659258,1,2,1
"64",12061510,"Unterspreewald",830,0.663138,1,2,1
"65",12061540,"Wildau, Stadt",9945,0.633946,1,2,1
"66",12061572,"Zeuthen",10993,0.619851,1,1,1
"67",12062024,"Bad Liebenwerda, Stadt",9411,0.767284,3,6,2
"68",12062088,"Crinitz",1226,0.774299,3,6,2
"69",12062092,"Doberlug-Kirchhain, Stadt",8625,0.784499,3,6,2
"70",12062124,"Elsterwerda, Stadt",8161,0.796446,3,6,2
"71",12062128,"Falkenberg/Elster, Stadt",6529,0.77558,3,6,2
"72",12062134,"Fichtwald",678,0.741322,3,5,2
"73",12062140,"Finsterwalde, Stadt",16407,0.832562,4,8,2
"74",12062177,"Gorden-Staupitz",972,0.764378,3,5,2
"75",12062196,"Gröden",1404,0.746152,3,5,2
"76",12062208,"Großthiemig",1059,0.746152,3,5,2
"77",12062219,"Heideland",544,0.806287,4,7,2
"78",12062224,"Herzberg (Elster), Stadt",9127,0.750712,3,5,2
"79",12062232,"Hirschfeld",1298,0.746152,3,5,2
"80",12062237,"Hohenbucko",655,0.741322,3,5,2
"81",12062240,"Hohenleipisch",2069,0.764378,3,5,2
"82",12062282,"Kremitzaue",828,0.741322,3,5,2
"83",12062289,"Lebusa",786,0.741322,3,5,2
"84",12062293,"Lichterfeld-Schacksdorf",965,0.774299,3,6,2
"85",12062333,"Massen-Niederlausitz",1981,0.774299,3,6,2
"86",12062336,"Merzdorf",858,0.746152,3,5,2
"87",12062341,"Mühlberg/Elbe, Stadt",3892,0.805788,4,7,2
"88",12062372,"Plessa",2778,0.764378,3,5,2
"89",12062410,"Röderland",3990,0.756024,3,5,2
"90",12062417,"Rückersdorf",1469,0.806287,4,7,2
"91",12062425,"Sallgast",1479,0.774299,3,6,2
"92",12062440,"Schilda",482,0.806287,4,7,2
"93",12062445,"Schlieben, Stadt",2511,0.741322,3,5,2
"94",12062453,"Schönborn",1546,0.806287,4,7,2
"95",12062461,"Schönewalde, Stadt",3136,0.753255,3,5,2
"96",12062464,"Schraden",518,0.764378,3,5,2
"97",12062469,"Sonnewalde, Stadt",3343,0.742195,3,5,2
"98",12062492,"Tröbitz",738,0.806287,4,7,2
